courses,link,origin_site,profession,subscription,scope
Mobile Video Workshop with ex BBC ITV reporter,https://www.udemy.com/course/mobilevideoworkshop/,udemy.com,Video editor,free,Media _ Communications
Day In The Life Of A Videographer/Video Editor (VLOG),https://www.youtube.com/watch?v=nmm6GlRsVLY,youtube.com,Video editor,free,Media _ Communications
9 Cuts Every Video Editor Should Know | Filmmaking Tips,https://www.youtube.com/watch?v=Wv3Hmf2Dxlo,youtube.com,Video editor,free,Media _ Communications
FULL Day as a VIDEOGRAPHER,https://www.youtube.com/watch?v=1KkJRXcm5NQ,youtube.com,Video editor,free,Media _ Communications
How To Become A Professional Videographer In 90 Days,https://www.youtube.com/watch?v=JxLzbr0afhg,youtube.com,Video editor,free,Media _ Communications
The Life of a Video Editor,https://www.youtube.com/watch?v=rB2_KSKVzko,youtube.com,Video editor,free,Media _ Communications
Explore Animation,https://www.futurelearn.com/courses/explore-animation,futurelearn.com,Animator,free,Media _ Communications
Filmmaking and Animation in the Classroom,https://www.futurelearn.com/courses/filmmaking-animation-classroom,futurelearn.com,Animator,free,Media _ Communications
So You Want To Be an Animator - Building Your Career - Extra Credits,https://www.youtube.com/watch?v=YQGaoj7jnBg,youtube.com,Animator,free,Media _ Communications
Animator Eric Goldberg in conversation with Wacom,https://www.youtube.com/watch?v=_os5wePJcg8,youtube.com,Animator,free,Media _ Communications
Eric Goldberg's Advice for Young Animators,https://www.youtube.com/watch?v=0kq6aA8Uye8,youtube.com,Animator,free,Media _ Communications
Why You Don’t Need to Know How to Draw to Be an Animator,https://www.youtube.com/watch?v=MV2USRdpnLE,youtube.com,Animator,free,Media _ Communications
The 5 Types of Animation,https://www.youtube.com/watch?v=NZbrdCAsYqU,youtube.com,Animator,free,Media _ Communications
The 6 Steps of Animation,https://www.youtube.com/watch?v=5CZdTdMmp2w,youtube.com,Animator,free,Media _ Communications
How To Make an Animated Movie,https://www.youtube.com/watch?v=rJaN643ri7s,youtube.com,Animator,free,Media _ Communications
The Art Director Job Description,https://www.youtube.com/watch?v=FP5EOLF7GPI,youtube.com,Art Director,free,Media _ Communications
Become An Art Director In A Year,https://www.youtube.com/watch?v=yOvjCqt_xvk,youtube.com,Art Director,free,Media _ Communications
Who do you work with as an Art Director?,https://www.youtube.com/watch?v=8-zYMrJTv4w,youtube.com,Art Director,free,Media _ Communications
Art Director Career Video,https://www.youtube.com/watch?v=0xZz2t-Ex1I,youtube.com,Art Director,free,Media _ Communications
Difference between an Art Director & Creative Director,https://www.youtube.com/watch?v=gZ7SZMvbssI,youtube.com,Art Director,free,Media _ Communications
Art Director How-To Career Guide,https://www.youtube.com/watch?v=gqB9nXajLz4,youtube.com,Art Director,free,Media _ Communications
Difference Between An Art Director & Graphic Designer,https://www.youtube.com/watch?v=utL6YEGOEB8,youtube.com,Art Director,free,Media _ Communications
The Art Director Dictionary,https://www.youtube.com/watch?v=BYCF5WnLve4,youtube.com,Art Director,free,Media _ Communications
My Job: Art Director - A Day Inside The House Of Maguie | Clair Thompson,https://www.youtube.com/watch?v=cbyF7mxPuCk,youtube.com,Art Director,free,Media _ Communications
What Do You Do As An Art Director?,https://www.youtube.com/watch?v=EWQgEjTAHeM,youtube.com,Art Director,free,Media _ Communications
What is an Art Director?,https://www.youtube.com/watch?v=BsK3tFH8-9k,youtube.com,Art Director,free,Media _ Communications
Sound Editors: Perfecting Audio,https://www.youtube.com/watch?v=hLF0PM05phc,youtube.com,Sound editor,free,Media _ Communications
MAGIX Video Sound Cleaning Lab – Tutorial,https://www.youtube.com/watch?v=yuPFmK5lu54,youtube.com,Sound editor,free,Media _ Communications
Sound Mixing & Editing Explained,https://www.youtube.com/watch?v=fhiKH9YXWdU,youtube.com,Sound editor,free,Media _ Communications
Skyfall' and 'The Bourne Ultimatum' Sound Editors Expose Their Craft | Art of Sound Ep.2,https://www.youtube.com/watch?v=pTjSy-aVnas,youtube.com,Sound editor,free,Media _ Communications
Learning the Art of Sound Design Is Harder Than You Think,https://www.youtube.com/watch?v=BU9nj2-6ZnA,youtube.com,Sound editor,free,Media _ Communications
SFX Secrets: Sound Editing vs Mixing,https://www.youtube.com/watch?v=weckXBc--Pg,youtube.com,Sound editor,free,Media _ Communications
How Do I Make Money as an Audio Engineer?,https://www.youtube.com/watch?v=weckXBc--Pg,youtube.com,Sound editor,free,Media _ Communications
"4 Golden Rules to Mixing Hip Hop Vocals | Lu Diaz (Jay-Z, Beyoncé)",https://www.youtube.com/watch?v=q7l0kcstqIM,youtube.com,Sound editor,free,Media _ Communications
"Career and Scope of a Sound Engineer - Job roles, Universities in India offering Sound Engineering",https://www.youtube.com/watch?v=2LmPwSkiENI,youtube.com,Sound editor,free,Media _ Communications
Sound Engineering or Music Production,https://www.youtube.com/watch?v=DFpUahYVf1U,youtube.com,Sound editor,free,Media _ Communications
Life of a Lighting Techie,https://www.youtube.com/watch?v=PdSjRelF-D4,youtube.com,Lighting designer,free,Media _ Communications
Stage Lighting Basics,https://www.youtube.com/watch?v=CucN43oB3yk,youtube.com,Lighting designer,free,Media _ Communications
